condition,objectSide,handUsed,blockNumber,density,width(cm),completionTime(ms),errorCount
actualWalkTwo,,,266,0,0,0,0

actualWalkTwo,,,267,0,0,0,0

actualWalkTwo,,,268,0,0,0,0

actualWalkTwo,,,269,0,0,0,0

actualWalkTwo,,,270,0,0,0,0

actualWalkTwo,,,271,0,0,0,0

actualWalkTwo,,,272,0,0,0,0

actualWalkTwo,,,273,0,0,0,0

actualWalkTwo,,,274,0,0,0,0

actualWalkTwo,,,275,0,0,0,0

actualWalkTwo,,,276,0,0,0,0

actualWalkTwo,,,277,0,0,0,0

actualWalkTwo,,,278,0,0,0,0

actualWalkTwo,,,279,0,0,0,0

actualWalkTwo,,,280,0,0,0,0

actualWalkTwo,,,281,0,0,0,0

actualWalkTwo,,,282,0,0,0,0

actualWalkTwo,,,283,0,0,0,0

actualWalkTwo,,,284,0,0,0,0

actualWalkTwo,,,285,0,0,0,0

actualWalkTwo,,,286,0,0,0,0

actualWalkTwo,,,287,0,0,0,0

actualWalkTwo,,,288,0,0,0,0

actualWalkTwo,,,289,0,0,0,0

actualWalkTwo,,,290,0,0,0,0

actualWalkTwo,,,291,0,0,0,0

actualWalkTwo,,,292,0,0,0,0

actualWalkTwo,,,293,0,0,0,0

actualWalkTwo,,,294,0,0,0,0

actualWalkTwo,,,295,0,0,0,0

actualWalkTwo,,,296,0,0,0,0

actualWalkTwo,,,297,0,0,0,0

actualWalkTwo,,,298,0,0,0,0

actualWalkTwo,,,299,0,0,0,0

actualWalkTwo,,,300,0,0,0,0

actualWalkTwo,,,301,0,0,0,0

actualWalkTwo,,,302,0,0,0,0

actualWalkTwo,,,303,0,0,0,0

actualWalkTwo,,,304,0,0,0,0

actualWalkTwo,,,305,0,0,0,0

actualWalkTwo,,,306,0,0,0,0

actualWalkTwo,,,307,0,0,0,0

actualWalkTwo,,,308,0,0,0,0

actualWalkTwo,,,309,0,0,0,0

actualWalkTwo,,,310,0,0,0,0

actualWalkTwo,,,311,0,0,0,0

actualWalkTwo,,,312,0,0,0,0

actualWalkTwo,,,313,0,0,0,0

actualWalkTwo,,,314,0,0,0,0

actualWalkTwo,,,315,0,0,0,0

actualWalkTwo,,,316,0,0,0,0

actualWalkTwo,,,317,0,0,0,0

actualWalkTwo,,,318,0,0,0,0

actualWalkTwo,,,319,0,0,0,0

actualWalkTwo,,,320,0,0,0,0

actualWalkTwo,,,321,0,0,0,0

actualWalkTwo,,,322,0,0,0,0

actualWalkTwo,,,323,0,0,0,0

actualWalkTwo,,,324,0,0,0,0

actualWalkTwo,,,325,0,0,0,0

actualWalkTwo,,,326,0,0,0,0

actualWalkTwo,,,327,0,0,0,0

actualWalkTwo,,,328,0,0,0,0

actualWalkTwo,,,329,0,0,0,0

actualWalkTwo,,,330,0,0,0,0

actualWalkTwo,,,331,0,0,0,0

actualWalkTwo,,,332,0,0,0,0

actualWalkTwo,,,333,0,0,0,0

actualWalkTwo,,,334,0,0,0,0

